指标名称,中国:社会融资规模:新增人民币贷款:当月值,中国:社会融资规模:新增未贴现银行承兑汇票:当月值,中国:社会融资规模存量:人民币贷款,中国:金融机构:新增人民币贷款:居民户:中长期:当月值,中国:金融机构:新增人民币贷款:居民户:短期:当月值,中国:金融机构:新增人民币贷款:非银行业金融机构:当月值,中国:金融机构:新增人民币贷款:当月值,中国:金融机构:各项贷款余额:人民币:同比,中国:金融机构:新增人民币贷款:居民户:当月值,中国:金融机构:新增人民币存款:居民户:当月值,中国:金融机构:新增人民币存款:当月值,中国:金融机构:新增人民币存款:非金融企业:当月值,中国:金融机构:各项存款余额:人民币:同比
1978-12-31,,,,,,,,11.2,,,,,6.9
1979-12-31,,,,,,,,10.2,,,,,18.0
1980-12-31,,,,,,,,19.0,,,,,24.0
1981-12-31,,,,,,,,15.1,,,,,24.1
1982-12-31,,,,,,,,10.8,,,,,16.8
1983-12-31,,,,,,,,12.8,,,,,17.7
1984-12-31,,,,,,,,33.1,,,,,29.5
1985-12-31,,,,,,,,30.6,,,,,22.1
1986-12-31,,,,,,,,31.4,,,,,30.1
1987-12-31,,,,,,,,20.5,,,,,24.6
1988-12-31,,,,,,,,21.9,,,,,19.2
1989-12-31,,,,,,,,19.1,,,,,21.6
1990-12-31,,,,,,,,22.9,,,,,30.2
1991-12-31,,,,,,,,20.6,,,,,28.9
1992-06-30,,,,,,,,23.2,,,,,30.5
1992-07-31,,,,,,,,24.0,,,,,31.2
1992-08-31,,,,,,,,24.1,,,,,31.7
1992-09-30,,,,,,,,21.5,,,,,28.1
1992-10-31,,,,,,,,21.2,,,,,27.6
1992-11-30,,,,,,,,21.1,,,,,25.9
1992-12-31,,,,,,,,21.9,,,,,28.8
1993-01-31,,,,,,,,21.5,,,,,28.3
1993-02-28,,,,,,,,22.5,,,,,27.2
1993-03-31,,,,,,,,20.4,,,,,25.1
1993-04-30,,,,,,,,20.1,,,,,23.2
1993-05-31,,,,,,,,19.4,,,,,21.7
1993-06-30,,,,,,,,18.2,,,,,20.2
1993-07-31,,,,,,,,17.2,,,,,17.5
1993-08-31,,,,,,,,16.8,,,,,15.8
1993-09-30,,,,,,,,18.6,,,,,18.0
1993-10-31,,,,,,,,19.5,,,,,19.6
1993-11-30,,,,,,,,21.9,,,,,22.9
1993-12-31,,,,,,,,28.0,,,,,28.1
1994-01-31,,,,,,,,23.2,,,,,19.7
1994-02-28,,,,,,,,22.1,,,,,21.0
1994-03-31,,,,,,,,23.8,,,,,24.3
1994-04-30,,,,,,,,23.8,,,,,25.0
1994-05-31,,,,,,,,24.9,,,,,28.0
1994-06-30,,,,,,,,25.7,,,,,31.3
1994-07-31,,,,,,,,26.8,,,,,34.8
1994-08-31,,,,,,,,27.1,,,,,37.1
1994-09-30,,,,,,,,26.2,,,,,37.3
1994-10-31,,,,,,,,25.4,,,,,35.9
1994-11-30,,,,,,,,22.0,,,,,33.5
1994-12-31,,,,,,,,21.3,,,,,36.6
1995-01-31,,,,,,,,24.7,,,,,40.5
1995-02-28,,,,,,,,21.6,,,,,37.3
1995-03-31,,,,,,,,23.7,,,,,34.8
1995-04-30,,,,,,,,20.2,,,,,35.6
1995-05-31,,,,,,,,19.2,,,,,34.2
1995-06-30,,,,,,,,17.8,,,,,33.0
1995-07-31,,,,,,,,17.5,,,,,31.2
1995-08-31,,,,,,,,17.5,,,,,29.9
1995-09-30,,,,,,,,21.8,,,,,30.8
1995-10-31,,,,,,,,22.0,,,,,30.5
1995-11-30,,,,,,,,23.1,,,,,30.2
1995-12-31,,,,,,,,26.4,,,,,33.0
1996-01-31,,,,,,,,36.1,,,,,48.7
1996-02-29,,,,,,,,40.4,,,,,49.7
1996-03-31,,,,,,,,38.1,,,,,51.4
1996-04-30,,,,,,,,42.1,,,,,51.9
1996-05-31,,,,,,,,42.3,,,,,50.7
1996-06-30,,,,,,,,44.1,,,,,50.6
1996-07-31,,,,,,,,44.2,,,,,51.2
1996-08-31,,,,,,,,44.2,,,,,51.6
1996-09-30,,,,,,,,39.1,,,,,50.1
1996-10-31,,,,,,,,38.7,,,,,50.0
1996-11-30,,,,,,,,37.6,,,,,48.9
1996-12-31,,,,,,,,21.0,,,,,27.3
1997-01-31,,,,,,,,27.5,,,,,25.7
1997-02-28,,,,,,,,27.3,,,,,26.6
1997-03-31,,,,,,,,27.1,,,,,25.7
1997-04-30,,,,,,,,25.9,,,,,23.5
1997-05-31,,,,,,,,25.7,,,,,22.1
1997-06-30,,,,,,,,25.3,,,,,22.1
1997-07-31,,,,,,,,24.5,,,,,20.6
1997-08-31,,,,,,,,24.0,,,,,19.6
1997-09-30,,,,,,,,23.9,,,,,20.2
1997-10-31,,,,,,,,23.1,,,,,19.1
1997-11-30,,,,,,,,22.9,,,,,18.8
1997-12-31,,,,,,,,22.5,,,,,20.1
1998-01-31,,,,,,,,16.1,,,,,18.3
1998-02-28,,,,,,,,15.4,,,,,17.9
1998-03-31,,,,,,,,15.1,,,,,16.5
1998-04-30,,,,,,,,15.2,,,,,15.2
1998-05-31,,,,,,,,15.2,,,,,16.7
1998-06-30,,,,,,,,15.6,,,,,15.2
1998-07-31,,,,,,,,15.8,,,,,16.4
1998-08-31,,,,,,,,16.4,,,,,15.7
1998-09-30,,,,,,,,17.1,,,,,17.3
1998-10-31,,,,,,,,16.9,,,,,17.5
1998-11-30,,,,,,,,17.1,,,,,18.2
1998-12-31,,,,,,,,15.5,,,,,16.1
1999-01-31,,,,,,,,15.6,,,,,18.7
1999-02-28,,,,,,,,16.0,,,,,17.0
1999-03-31,,,,,,,,15.7,,,,,18.1
1999-04-30,,,,,,,,15.5,,,,,18.7
1999-05-31,,,,,,,,15.1,,,,,17.8
1999-06-30,,,,,,,,15.0,,,,,18.3
1999-07-31,,,,,,,,14.6,,,,,16.2
1999-08-31,,,,,,,,13.9,,,,,16.3
1999-09-30,,,,,,,,13.0,,,,,14.8
1999-10-31,,,,,,,,12.5,,,,,13.8
1999-11-30,,,,,,,,12.3,,,,,13.7
1999-12-31,,,,,,,,12.5,,,,,13.7
2000-01-31,,,,,,,,12.8,,,,,12.3
2000-02-29,,,,,,,,12.7,,,,,13.1
2000-03-31,,,,,,,,13.4,,,,,13.0
2000-04-30,,,,,,,,13.8,,,,,13.1
2000-05-31,,,,,,,,13.9,,,,,13.0
2000-06-30,,,,,,,,13.8,,,,,14.3
2000-07-31,,,,,,,,14.1,,,,,13.9
2000-08-31,,,,,,,,14.0,,,,,13.8
2000-09-30,,,,,,,,14.1,,,,,13.8
2000-10-31,,,,,,,,14.5,,,,,13.3
2000-11-30,,,,,,,,14.7,,,,,13.6
2000-12-31,,,,,,,,13.4,,,,,13.8
2001-01-31,,,,,,,1285.0,14.3,,,1488.0,,16.0
2001-02-28,,,,,,,739.0,14.5,,,,,14.1
2001-03-31,,,,,,,1045.0,13.9,,,,,14.7
2001-04-30,,,,,,,1021.0,13.7,,,,,15.5
2001-05-31,,,,,,,1223.0,14.1,,,,,13.7
2001-06-30,,,,,,,1839.0,13.7,,,,,15.1
2001-07-31,,,,,,,541.0,13.2,,,,,14.1
2001-08-31,,,,,,,519.0,12.6,,,,,16.1
2001-09-30,,,,,,,1359.0,12.3,,,,,15.9
2001-10-31,,,,,,,16.0,11.4,,,,,16.8
2001-11-30,,,,,,,1101.0,10.9,,,,,15.1
2001-12-31,,,,,,,2312.0,11.6,,,,,16.0
2002-01-31,240.0,-755.0,,,,,240.0,10.9,,,139.0,,14.7
2002-02-28,530.0,-402.0,,,,,529.0,10.6,,,966.0,,15.0
2002-03-31,2554.0,315.0,,,,,2555.0,11.9,,,,,14.1
2002-04-30,937.0,51.0,,,,,935.9999999999999,11.6,,,,,14.9
2002-05-31,1110.0,426.0,,,,,1110.0,11.4,,,,,17.4
2002-06-30,2929.0,-589.0,,,,,2930.0,12.2,,,,,16.5
2002-07-31,620.0,36.0,,,,,620.0,12.2,,,,,18.7
2002-08-31,1736.0,-233.0,,,,,1736.0,13.3,,,,,17.8
2002-09-30,2885.0,296.0,,,,,2878.0,14.2,,,,,19.1
2002-10-31,722.0,-61.0,,,,,722.0,15.4,,,783.0,,18.8
2002-11-30,1539.0,107.0,,,,,1539.0000000000002,15.7,,,2142.0,,20.1
2002-12-31,2673.0,113.0,,,,,2206.0,15.8,,,2540.0,,18.9
2003-01-31,3266.0,-113.0,,,,,3267.0,18.88,,,,,20.91
2003-02-28,1091.0,-277.0,,,,,1250.0,19.35,,,,,22.33
2003-03-31,3725.0,-41.0,,,,,3564.9999999999995,19.9,,,,,23.8
2003-04-30,1945.0,280.0,,,,,1945.0,20.65,,,,,22.59
2003-05-31,2534.0,121.0,,,,,2534.0,21.66,,,,,23.29
2003-06-30,5250.0,13.0,,,,,5439.0,23.1,,,,,23.3
2003-07-31,1062.0,-34.0,,,,,871.9999999999999,23.38,,,,,23.14
2003-08-31,2808.0,-5.0,,,,,2808.0,23.9,,,,,22.3
2003-09-30,3035.0,432.0,,,,,3320.0,23.5,,,,,22.5
2003-10-31,616.0,378.0,,,,,616.0,23.28,,,,,22.6
2003-11-30,1025.0,355.0,,,,,1025.0,22.6,,,,,22.26
2003-12-31,1295.0,902.0,,,,,1343.0,21.1,,,,,21.7
2004-01-31,2540.0,-851.0,,,,,2629.0,20.12,,,,,21.25
2004-02-29,2085.0,-2174.0,,,,,1995.9999999999998,20.7,,,,,21.54
2004-03-31,3726.0,2316.0,,,,,3726.0,20.1,,,6379.0,,21.0
2004-04-30,1995.0,331.0,,,,,1995.0,19.9,,,,,20.44
2004-05-31,1132.0,-263.0,,,,,1132.0,18.6,,,2688.0,,19.1
2004-06-30,2821.0,-119.0,,,,,2822.0,16.3,,,,,18.2
2004-07-31,-19.0,329.0,,,,,-19.0,15.5,,,522.0,,17.7
2004-08-31,1157.0,-3.0,,,,,1157.0,14.1,,,2280.0,,17.6
2004-09-30,2502.0,134.0,,,,,2502.0,13.6,,,2198.0,,15.8
2004-10-31,256.0,105.0,,,,,256.0,13.3,,,1453.0,,15.9
2004-11-30,1495.0,-151.0,,,,,1495.0,13.5,,,3306.0,,16.3
2004-12-31,2983.0,58.0,,,,,2949.0,14.5,,,1241.0,,16.0
2005-01-31,2810.0,-190.0,,,,,2809.0,14.2,808.0,,2117.0,,16.7
2005-02-28,959.0,-251.0,,,,,959.0,13.4,184.0,5654.0,3384.0,,15.9
2005-03-31,3607.0,69.0,,,,,3607.0000000000005,13.0,637.0,,6499.0,,15.9
2005-04-30,1420.0,177.0,,,,,1420.0,12.5,439.0,,3309.0,,16.4
2005-05-31,1089.0,92.0,,,,,1078.0,12.4,249.0,,3953.0,,16.8
2005-06-30,4653.0,-323.0,,,,,4653.0,13.3,385.0,,6292.0,,17.2
2005-07-31,-314.0,172.0,,,,,-321.0,13.1,128.0,,1582.0,,17.6
2005-08-31,1897.0,50.0,,,,,1897.0,13.4,208.0,,4364.0,,18.3
