,中国:36大中城市日用工业消费品平均价格:空调机(1.5匹冷暖),中国:36大中城市日用工业消费品平均价格:冰箱(210-250立升),中国:36大中城市日用工业消费品平均价格:洗衣机(波轮式,中国:36大中城市日用工业消费品平均价格:彩电(液晶42寸),中国:36大中城市日用工业消费品平均价格:洗衣机(滚筒式,中国:36大中城市日用工业消费品平均价格:燃气灶具(嵌入式燃气灶),中国:限额以上企业商品零售额:家用电器和音像器材类:当月同比,中国:产量:空调:当月值,中国:产量:空调:当月同比,中国:产量:家用电冰箱:当月值,中国:产量:家用电冰箱:当月同比,中国:产量:家用洗衣机:当月值,中国:产量:家用洗衣机:当月同比,中国:产量:彩电:当月值,中国:产量:彩电:当月同比,大家电:冰箱:库存:当月值,大家电:冰箱:总计:出货量:当月值,大家电:冰箱:推总:零售量:当月值,大家电:冰箱:推总:零售量同比:当月值,大家电:冰箱:推总:零售额:当月值,大家电:冰箱:推总:零售额同比:当月值,大家电:空调:库存:当月值,大家电:空调:总计:出货量:当月值,大家电:空调:总计:出货量同比:当月值,大家电:空调:推总:零售量:当月值,大家电:空调:推总:零售量同比:当月值,白电推总:零售量同比增速:当月同比,白电推总:零售额同比增速:当月同比
2013-01-31,3563.0,3115.0,1417.0,4190.0,2671.0,1722.0,,,,736.0,15.7,594.9,49.0,,,350.7,530.5,,,,,757.68,897.6,29.2,,,,
2013-02-28,3579.0,3108.0,1418.0,4215.0,2684.0,1736.0,16.7,769.0,-33.04,515.9,-2.2,374.7,-26.2,,,258.56,542.1,,,,,708.37,713.2,-16.6,,,,
2013-03-31,3583.0,3128.0,1426.0,4252.0,2728.0,1743.0,16.6,1605.7,24.3,898.8,13.8,653.1,14.5,1119.3,3.1,247.96,760.2,,,,,652.57,1311.6,6.3,,,,
2013-04-30,,,,,,,15.3,1592.1,3.8,964.5,12.6,584.1,5.6,1173.2,1.4,252.58,773.4,,,,,668.47,1304.6,9.3,,,,
2013-05-31,,,,,,,21.5,1532.6167,-13.5717,981.7281,28.5175,567.1465,3.4462,995.549,5.4252,262.72,765.9,,,,,640.92,1248.7,0.0,,,,
2013-06-30,3562.0,3213.0,1481.0,4171.0,2758.0,1730.0,11.7,1316.2599,15.9165,920.4991,6.1183,559.0605,15.2156,974.57,4.0814,234.7,737.5,,,,,563.22,1043.9,0.2,,,,
2013-07-31,,,,,,,7.5,1191.1378,26.6603,872.1956,3.4248,531.0863,4.0862,969.7669,-9.9799,222.18,717.5,,,,,634.97,901.6,8.3,,,,
2013-08-31,3545.0,3181.0,1503.0,4131.0,2716.0,1714.0,12.8,1018.3811,24.5941,793.1137,3.3513,629.4567,15.2296,1278.2087,2.332,233.73,694.4,,,,,520.46,818.8,16.3,,,,
2013-09-30,,,,,,,14.2,1121.7461,9.1915,783.6761,9.457,697.2233,8.7613,1511.7616,-4.5437,267.58,613.1,,,,,490.31,816.6,16.0,,,,
2013-10-31,3560.0,3192.0,1514.0,4125.0,2753.0,1721.0,12.5,1066.3751,11.8311,698.7611,13.1244,633.9615,3.0322,1303.5711,-12.9553,266.13,500.0,,,,,538.68,645.1,8.3,,,,
2013-11-30,3555.0,3188.0,1513.0,4113.0,2736.0,1748.0,19.6,1069.3486,6.8217,733.8518,12.758,708.0937,9.4824,1427.3697,-3.3159,266.96,511.2,,,,,669.96,636.2,5.0,,,,
2013-12-31,3545.0,3182.0,1524.0,4053.0,2730.0,1751.0,10.9,1302.6419,13.062,735.6352,-1.3571,680.3182,9.413,1490.9646,0.6584,280.33,531.6,,,,,789.34,774.1,10.4,,,,
2014-01-31,3497.0,3172.0,1498.0,4082.0,2755.0,1767.0,,,,,,,,,,276.85,543.6,,,,,845.17,854.0,-4.9,,,,
2014-02-28,3505.0,3179.0,1499.0,4108.0,2776.0,1772.0,7.2695,,,,,,,,,254.35,503.2,,,,,826.01,841.2,17.9,,,,
2014-03-31,3583.0,3128.0,1426.0,4252.0,2728.0,1743.0,13.0,1749.2,12.2,902.0,1.3,629.8,-3.0,1330.0,19.9,268.47,778.0,,,,,719.63,1466.0,11.8,,,,
2014-04-30,3479.0,3162.0,1489.0,4080.0,2787.0,1796.0,2.9,1685.5127,8.9591,950.9,-0.9,595.0863,1.1357,1353.8113,15.7337,270.46,774.3,,,,,704.56,1335.1,2.3,,,,
2014-05-31,3469.0,3156.0,1496.0,4050.0,2755.0,1787.0,6.6,1690.56,15.9858,944.3,-3.4,534.3468,-7.4634,1214.9745,18.6856,257.47,762.7,,,,,716.89,1255.4,0.5,,,,
2014-06-30,3470.0,3165.0,1489.0,3979.0,2758.0,1798.0,10.7,1587.7837,23.1819,944.8,2.8,559.5572,-2.2634,1085.6942,7.4347,239.53,749.8,,,,,719.53,1147.3,9.9,,,,
2014-07-31,3426.0,3141.0,1481.0,3918.0,2741.0,1793.0,12.6,1231.5327,7.3921,832.2272,-5.2169,581.7094,6.1435,1165.6296,14.2126,207.95,721.6,,,,,732.18,918.6,1.9,,,,
2014-08-31,3429.0,3134.0,1473.0,3933.0,2746.0,1789.0,9.7,1113.7925,12.5068,761.1,-4.0,594.015,-7.5384,1387.9287,3.0004,213.52,666.4,,,,,684.94,855.9,4.5,,,,
